,Gims,Kaaris,Maes,Booba,Ninho,Guy2bezbar,Leto,Koba la D,Damso,Freeze Corleone,Vald,Nekfeu,Zola,JUL,Niska,Sofiane,Fresh,Lomepal,Hamza,Laylow
Gims,1.0,0.29752949975573667,0.24705932341394873,0.06519167722401102,0.4137920092782507,0.0358266147657504,0.13829646981598565,0.2751234571540334,0.3265928825583856,-0.07819347163869445,0.1469696817472543,0.27203321198134506,0.04037933760731019,0.38731661006016294,0.328079802063937,0.37954142952428016,0.24354175254447047,0.24883218815233102,0.07197368344674931,0.03846509591444871
Kaaris,0.29752949975573667,1.0,0.4315435838102186,0.5093063582755368,0.5177597806704147,0.2752472720019086,0.4524389341668698,0.5363782977060868,0.4546960122237263,0.40925593439595953,0.4741408347086215,0.2781931646257457,0.39810694459407453,0.4316220282627013,0.6452621625969026,0.6660572432156688,0.4703184211998798,0.008050576263949704,0.4922857478097007,0.39045423575488825
Maes,0.24705932341394873,0.4315435838102186,1.0,0.44209559898021633,0.7116259084907375,0.3633638087059508,0.5862932067780111,0.5851782988406428,0.5643681414692153,0.49756498871002497,0.48503830131580616,0.3835487655820592,0.6312813092298346,0.5594333348299475,0.6548947512040096,0.5229486025822158,0.47936115826170356,0.15550518857070691,0.6475923838647522,0.5500207947882572
Booba,0.06519167722401102,0.5093063582755368,0.44209559898021633,1.0,0.4789871368133579,0.2219661075930756,0.3307604017748813,0.34446151206025566,0.44688344108627803,0.416743715278693,0.2923724887727358,0.3220956746530715,0.32712109755085567,0.48105716525228437,0.5004154550149842,0.472158354067798,0.2652658556036292,0.04328551336983255,0.4046134152332462,0.35198237815009287
Ninho,0.4137920092782507,0.5177597806704147,0.7116259084907375,0.4789871368133579,1.0,0.43175548821035764,0.6729605118156652,0.5268175610126795,0.6410286779291465,0.39693638208492044,0.47193559383549744,0.40465310651452696,0.5355896476321562,0.5670299474921524,0.714433258209807,0.5780698503662042,0.45860293474539876,0.16382520239262896,0.58954012904508,0.38406766364396233
Guy2bezbar,0.0358266147657504,0.2752472720019086,0.3633638087059508,0.2219661075930756,0.43175548821035764,1.0,0.6383161976483095,0.486720172754193,0.19626629432183765,0.3994187645074064,0.23767150955787544,0.15071284665666423,0.6033005608563743,0.18935521576548328,0.40821739384500266,0.2634378395101496,0.5074178944339442,-0.034886941855129056,0.46561611650467316,0.42772805997069735
Leto,0.13829646981598565,0.4524389341668698,0.5862932067780111,0.3307604017748813,0.6729605118156652,0.6383161976483095,1.0,0.5764713902847748,0.4265339599559357,0.553410133953367,0.4230119554067932,0.296751093700403,0.732134965951671,0.33387940558689383,0.5802906608048611,0.39749332796484504,0.3858751549509464,0.049032244899403804,0.5964363527149411,0.5376473926799005
Koba la D,0.2751234571540334,0.5363782977060868,0.5851782988406428,0.34446151206025566,0.5268175610126795,0.486720172754193,0.5764713902847748,1.0,0.5185575945280987,0.3564315576845095,0.460830961414513,0.35778427530778023,0.5802195446871028,0.45290450442410096,0.6432332921265537,0.46921188713211665,0.473402837580444,0.19592026684419867,0.5425951785746433,0.4345016321447493
Damso,0.3265928825583856,0.4546960122237263,0.5643681414692153,0.44688344108627803,0.6410286779291465,0.19626629432183765,0.4265339599559357,0.5185575945280987,1.0,0.5088135562158674,0.6592191122184955,0.7052744193653581,0.4845772848807982,0.4746548863650569,0.6103951189655574,0.5136326105720043,0.30868673178797496,0.44704679656535184,0.5850152519293029,0.5535874380530927
Freeze Corleone,-0.07819347163869445,0.40925593439595953,0.49756498871002497,0.416743715278693,0.39693638208492044,0.3994187645074064,0.553410133953367,0.3564315576845095,0.5088135562158674,1.0,0.6283667357041012,0.3405043294722143,0.5844999474577328,0.20315681265713825,0.454269548890574,0.4365203048266645,0.2357980876583275,0.009618326598731767,0.5240091478383079,0.6496803632077105
Vald,0.1469696817472543,0.4741408347086215,0.48503830131580616,0.2923724887727358,0.47193559383549744,0.23767150955787544,0.4230119554067932,0.460830961414513,0.6592191122184955,0.6283667357041012,1.0,0.5192947618247702,0.49956626508714685,0.37935736842068923,0.4426504925826415,0.48725317216656605,0.22904451631036254,0.32059134840786235,0.4917796990230265,0.5308394876258957
Nekfeu,0.27203321198134506,0.2781931646257457,0.3835487655820592,0.3220956746530715,0.40465310651452696,0.15071284665666423,0.296751093700403,0.35778427530778023,0.7052744193653581,0.3405043294722143,0.5192947618247702,1.0,0.38107964716793385,0.4063081635107201,0.3992989764243469,0.3171834789909115,0.1537849471586593,0.5683253683793867,0.42590145487281345,0.4717038302339249
