Horodateur,Quel est votre genre ?,user_id,Quel âge avez-vous ?,Gims,Kaaris,Maes,Booba,Ninho,Guy2bezbar,Leto,Koba la D,Damso,Freeze Corleone,Vald,Nekfeu,Zola,JUL,Niska,Sofiane,Fresh,Lomepal,Hamza,Laylow
24/10/2022 11:46:08,Homme,1,24,2,3,3,2,5,5,4,5,5,3,4,4,5,1,5,3,3,1,3,3
24/10/2022 11:51:26,Homme,2,22,2,2,3,2,3,1,3,2,4,3,3,5,3,2,4,3,1,3,3,5
24/10/2022 12:02:15,Homme,3,23,2,2,4,3,3,1,3,2,5,5,4,5,4,4,4,4,1,2,2,4
24/10/2022 12:02:26,Je ne m'identifie ni comme un homme ni comme une femme 🙃,4,22,2,3,3,2,4,3,4,4,2,4,5,4,5,1,2,2,1,3,2,4
24/10/2022 12:02:53,Je ne m'identifie ni comme un homme ni comme une femme 🙃,5,23,2,2,3,3,5,3,4,3,4,5,3,4,3,2,4,3,3,1,3,3
24/10/2022 12:04:04,Homme,6,25,1,3,2,5,3,2,2,3,5,5,5,5,4,3,2,2,1,4,2,5
24/10/2022 12:04:18,Homme,7,30,2,1,1,3,1,1,1,1,2,1,1,3,1,2,3,1,1,2,1,1
24/10/2022 12:04:55,Je ne m'identifie ni comme un homme ni comme une femme 🙃,8,45,3,1,3,1,4,2,4,4,5,5,5,4,3,2,3,2,1,3,3,4
24/10/2022 12:06:29,Homme,9,22,3,2,4,4,5,1,2,3,4,1,2,4,3,5,5,2,3,1,4,3
24/10/2022 12:07:48,Femme,10,33,2,2,2,2,2,1,1,1,3,1,3,3,1,2,2,2,2,3,2,1
24/10/2022 12:10:01,Femme,11,30,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1
24/10/2022 12:10:16,Homme,12,22,3,4,4,4,5,1,4,5,5,3,5,5,4,5,5,5,1,4,5,3
24/10/2022 12:12:47,Homme,13,59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24/10/2022 12:12:53,Femme,14,30,2,2,2,4,3,2,2,2,4,2,2,5,2,2,2,2,2,5,4,4
24/10/2022 12:15:24,Femme,15,27,3,1,4,1,5,1,1,1,2,1,4,1,1,1,1,1,1,5,1,1
24/10/2022 12:20:16,Homme,16,24,2,3,2,3,5,2,4,3,2,2,1,1,2,1,2,2,1,1,3,1
24/10/2022 12:30:42,Femme,17,19,3,1,1,1,2,1,1,1,5,1,1,5,1,1,1,1,1,5,2,1
24/10/2022 12:33:50,Homme,18,21,3,3,3,4,5,1,2,2,5,3,3,1,2,3,3,3,2,2,2,1
24/10/2022 12:38:37,Homme,19,24,2,3,4,4,5,1,2,2,3,3,4,3,4,2,4,1,1,1,3,3
24/10/2022 12:43:28,Homme,20,24,1,3,1,3,5,2,3,2,4,5,5,3,2,3,4,3,1,2,2,2
24/10/2022 12:46:40,Homme,21,22,2,2,1,4,1,1,1,1,5,4,4,5,1,1,1,3,1,4,1,5
24/10/2022 12:48:13,Femme,22,22,4,3,4,2,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4
24/10/2022 12:48:33,Homme,23,22,2,2,2,3,2,2,2,1,4,3,4,5,4,1,1,1,2,5,2,5
24/10/2022 12:53:15,Femme,24,23,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
24/10/2022 12:59:34,Femme,25,20,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1
24/10/2022 12:59:58,Femme,26,24,2,1,1,1,1,1,1,1,2,3,2,2,1,2,1,1,1,2,1,1
24/10/2022 13:19:25,Femme,27,24,3,1,1,1,5,1,4,1,5,1,5,3,1,2,1,1,1,5,1,1
24/10/2022 13:23:05,Femme,28,57,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24/10/2022 13:29:35,Femme,29,68,2,5,5,2,5,5,5,5,2,5,5,1,5,4,5,5,5,1,5,5
24/10/2022 13:30:40,Homme,30,24,1,1,1,1,1,1,1,1,2,2,5,1,1,1,1,1,1,1,1,1
24/10/2022 13:36:31,Homme,31,22,2,2,5,5,4,2,4,3,5,4,3,5,3,3,4,3,1,1,5,5
24/10/2022 13:39:36,Homme,32,23,1,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,2,1
24/10/2022 13:44:33,Homme,33,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
24/10/2022 13:45:36,Homme,34,26,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
24/10/2022 13:45:40,Femme,35,31,2,2,2,2,2,2,1,4,5,1,4,5,1,2,2,2,2,4,3,1
24/10/2022 13:45:58,Homme,36,26,3,3,1,1,1,1,1,1,3,1,3,3,1,3,3,1,1,1,1,1
24/10/2022 13:46:04,Femme,37,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24/10/2022 13:46:27,Homme,38,28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24/10/2022 13:48:11,Femme,39,31,4,2,2,3,4,2,2,2,4,2,4,4,2,4,2,4,2,4,2,2
24/10/2022 13:48:12,Femme,40,27,3,2,1,2,1,1,1,1,1,1,1,3,1,2,1,2,1,2,1,1
24/10/2022 13:49:14,Homme,41,35,2,3,1,4,1,1,1,2,5,5,5,1,1,1,2,2,1,1,4,5
24/10/2022 13:49:33,Homme,42,24,5,4,1,2,3,1,1,4,4,1,5,5,1,3,3,3,1,1,1,1
24/10/2022 13:50:55,Homme,43,24,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
24/10/2022 13:54:16,Femme,44,30,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
24/10/2022 13:54:22,Femme,45,23,3,1,4,1,3,1,2,4,5,2,4,4,2,4,4,3,1,5,2,1
24/10/2022 13:58:35,Femme,46,37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24/10/2022 13:59:37,Femme,47,25,2,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1,4,1,1
