user_id,favorite_artist,reco
1,"Ninho, Guy2bezbar, Leto, Koba la D, Damso, Vald, Nekfeu, Zola, Niska","Freeze Corleone, Maes, Lomepal, Laylow"
2,"Damso, Nekfeu, Niska, Laylow","Zola, Vald, Hamza, Maes, Lomepal, Ninho"
3,"Maes, Damso, Freeze Corleone, Vald, Nekfeu, Zola, JUL, Niska, Sofiane, Laylow","Leto, Kaaris, Hamza, Ninho, Lomepal"
4,"Ninho, Leto, Koba la D, Freeze Corleone, Vald, Nekfeu, Zola, Laylow","Hamza, Damso, Maes, Lomepal, Niska"
5,"Ninho, Leto, Damso, Freeze Corleone, Nekfeu, Niska","Vald, Maes, Laylow, Lomepal, Zola"
6,"Booba, Damso, Freeze Corleone, Vald, Nekfeu, Zola, Lomepal, Laylow","Kaaris, Leto, Hamza, Niska"
7,,Pas d'artiste à recommander
8,"Ninho, Leto, Koba la D, Damso, Freeze Corleone, Vald, Nekfeu, Laylow","Hamza, Maes, Lomepal, Zola, Niska"
9,"Maes, Booba, Ninho, Damso, Nekfeu, JUL, Niska, Hamza","Kaaris, Zola, Vald, Lomepal, Laylow"
10,,Pas d'artiste à recommander
11,,Pas d'artiste à recommander
12,"Kaaris, Maes, Booba, Ninho, Leto, Koba la D, Damso, Vald, Nekfeu, Zola, JUL, Niska, Sofiane, Lomepal, Hamza","Freeze Corleone, Laylow"
13,,Pas d'artiste à recommander
14,"Booba, Damso, Nekfeu, Lomepal, Hamza, Laylow","Kaaris, Zola, Vald, Niska"
15,"Maes, Ninho, Vald, Lomepal","Freeze Corleone, Nekfeu, Damso, Niska"
16,"Ninho, Leto","Maes, Zola, Niska"
17,"Damso, Nekfeu, Lomepal",Vald
18,"Booba, Ninho, Damso","Kaaris, Vald, Maes, Nekfeu, Niska"
19,"Maes, Booba, Ninho, Vald, Zola, Niska","Kaaris, Leto, Freeze Corleone, Laylow, Damso"
20,"Ninho, Damso, Freeze Corleone, Vald, Niska","Maes, Nekfeu, Laylow"
21,"Booba, Damso, Freeze Corleone, Vald, Nekfeu, Lomepal, Laylow","Kaaris, Zola, Hamza, Niska"
22,"Gims, Maes, Ninho, Koba la D, Damso, Freeze Corleone, Vald, Nekfeu, Zola, Niska, Sofiane, Fresh, Lomepal, Hamza, Laylow","Leto, Kaaris, JUL, Guy2bezbar"
23,"Damso, Vald, Nekfeu, Zola, Lomepal, Laylow","Leto, Freeze Corleone, Hamza"
24,,Pas d'artiste à recommander
25,Lomepal,"Nekfeu, Damso"
26,,Pas d'artiste à recommander
27,"Ninho, Leto, Damso, Vald, Lomepal","Freeze Corleone, Maes, Nekfeu, Zola, Niska"
28,,Pas d'artiste à recommander
